Name (English),Address (English),Name (Dhivehi),Address (Dhivehi)
Emerald Faarushi Clinic,"Faarufushi Island, Raa Atoll, Maldives",,
Emerald Maldives Resort Clinic,R. Fasmendhoo Island,,
Eri Maldives Clini,"Eriyadhoo Island, Kaafu Atoll 6644487 /",,
Eriyadu Clinic,Eriyadu Island Resort Maldives,,
Eve Clinic,"M. Kovarik, K.Male' 3300788 /",,
Eye Care Clinic (Addu Branch),"Silver Leaf, Hiyfaseyha Magu, S.Hithadhoo.",,
Eye Care Hospital,"M.Usha, orchid magu , K. Male'",,
Eye Care Hospital Hulhumale' Annex,Lot 10420 Hulhumale',,
Eye to Eye Opticals & Clinic,"M. Sileyha, Funagoalhi / eyetoeyemv@gmail.com",,
Eye to Eye Opticals & Clinic 2,M. Dhiyaneru 9637947 /,,
Eyecare opticals (fuvahmulah branch),"M. Jupiter fareedhee Magu, K. Male'",,
F & C Medicare and Scan Center,"Ehaaru, S. Hithadhoo, Maldives",,
F & C Prime Care,"Thilafushi Office, K.Thilafushi, Male'",,
F&C Medicare Meedhoo,Mirihaana S. Meedhoo,,
Family Care Clinic and Scan Centre,"H. Azum, Ameenee Magu, Male', Maldives",,
Family Dental Care,Sun East 2nd Floor Nirolhu Magu,,
Family Relationship Services,"H. Maafolhey Villa, ground floor, K. Male' 7672659 /",,
Farook Healthcare,"Randhan, Gn. Fuvahmulah",,
Farook Healthcare Villingili,Blue House GA. Villingili,,
