id,name,address,category,location_type,name_dv,address_dv
"4f002dbd-1c4e-4b1d-a292-135c18ba3c1a","A,Dh. Dhangethi Health center","A,Dh. Dhangethi Health center, A,Dh","Health Centre Grade 3","Island",,
"472f21ae-efe3-4d64-88f5-87877a535744","Ambience Medical ServicesClosed","Ambience Medical ServicesClosed, Ambience","General Clinic","Island",,
"a6ac3457-aeb8-4cb6-a13e-609a4665b8d8","Amina Dhiyo Health Centre","Amina Dhiyo Health Centre, Amina","Health Centre Grade 1","Island",,
"4c938535-1362-456d-aed9-20b8a242736b","Ana''s Aesthetic Clinic","Ana''s Aesthetic Clinic","General Clinic","Island",,
"32adba98-59e6-41b9-9bab-2036a7bead65","Atoll ClinicClosed","Atoll ClinicClosed, Atoll","General Clinic","Resort",,
"be8fa145-1b2c-4234-bb31-bbb269ece066","Atolls Guest Clinic","Atolls Guest Clinic, Atolls","General Clinic","Resort",,
"847aacdf-6d38-4c53-a2bd-e906b487684e","Bluspan Care","Bluspan Care, Bluspan","Therapeutic Service Clinic","Island",,
"86f662bf-4d4c-4676-ba17-afcbeef44de8","Bluspan Care Annex - 1","Bluspan Care Annex - 1, Bluspan","Therapeutic Service Clinic","Island",,
"05ff7287-a685-4bbc-b283-fa2072970779","Bluspan Care Dhidhdhoo","Bluspan Care Dhidhdhoo, Bluspan","Therapeutic Service Clinic","Island",,
"a2674cd2-0a79-4ba3-9dc0-fe3233f0629f","Blyss Multi-Specialty Therapy Centre","Blyss Multi-Specialty Therapy Centre, Blyss","General Clinic","Island",,
"fb23c3f5-0e70-4afe-9cdb-3e7be6d9008e","CAREMORE MEDICALS","CAREMORE MEDICALS, CAREMORE","General Clinic","Island",,
"f3757021-904b-458a-bae4-0fb88388ab77","Centara Clinic","Centara Clinic, Centara","General Clinic","Island",,
"d1efbe19-b02a-4f5d-b8f8-a7bbad9e6a1f","Center for Traditional Medicine","Center for Traditional Medicine, Center","General Clinic","Island",,
"67902305-3a49-46e0-9beb-8909b0c43b34","CHARM DENTAL & SKIN CLINIC","CHARM DENTAL & SKIN CLINIC, CHARM","Area Specific Clinic","Island",,
"bb9f7e91-8049-4195-b522-b6652b79bcee","City Optical","City Optical, City","Area Specific Clinic","Island",,
"e6c2855d-c386-4d00-b404-4dd1dedfe96d","Clinica HiyaClosed","Clinica HiyaClosed, Clinica","General Clinic","Island",,
"5e20da7a-9a7f-46e0-bec3-75939b81b529","Cocoa Island Clinic","Cocoa Island Clinic, Cocoa","General Clinic","Island",,
"452744bf-8a4d-432f-a717-c41e2746fae6","CORAL BAY CLINIC","CORAL BAY CLINIC, CORAL","General Clinic","Island",,
"6ff52caa-6210-4c81-b45c-986e12e66e8e","DH. Bandidhoo Health Centre","DH. Bandidhoo Health Centre, DH.","Health Centre Grade 2","Island",,
"71942c90-31e1-4f79-80ef-21399ed60673","DH. Hulhudhelee Health Centre","DH. Hulhudhelee Health Centre, DH.","Health Centre Grade 1","Island",,
